OrderDate,ShipDate,ShipMode,State,Category,Sales,Profit,Discounts
2018-01-03,2018-01-07,Standard Class,Texas,Furniture,130.98,5.55,0.2
2018-01-04,2018-01-08,Standard Class,Illinois,Furniture,87.32,4.27,0.2
2018-01-04,2018-01-08,Standard Class,Illinois,Furniture,87.32,-64.77,0.2
2018-01-04,2018-01-08,Standard Class,Illinois,Furniture,130.98,-5.49,0.8
2018-01-05,2018-01-12,Standard Class,Pennsylvania,Furniture,87.32,4.88,0.2
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,261.96,3.01,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,65.49,0.31,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,65.49,204.11,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,130.98,113.67,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,130.98,274.49,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,29.11,746.41,0.0
2018-01-06,2018-01-07,First Class,Georgia,Furniture,87.32,5.24,0.0
2018-01-06,2018-01-08,Second Class,California,Furniture,87.32,9.33,0.0
2018-01-06,2018-01-10,Standard Class,Kentucky,Furniture,130.98,1.48,0.0
2018-01-07,2018-01-12,Standard Class,Texas,Furniture,87.32,-53.71,0.6
2018-01-07,2018-01-12,Standard Class,Texas,Furniture,37.42,-18.25,0.8
2018-01-09,2018-01-13,Standard Class,Texas,Furniture,130.98,1.17,0.2
2018-01-09,2018-01-13,Standard Class,Texas,Furniture,87.32,9.75,0.2
2018-01-10,2018-01-15,Standard Class,Virginia,Furniture,261.96,21.3,0.0
2018-01-10,2018-01-15,Standard Class,Virginia,Furniture,261.96,1.36,0.0
2018-01-11,2018-01-14,First Class,Delaware,Furniture,130.98,3.08,0.0
2018-01-13,2018-01-18,Standard Class,California,Furniture,52.39,6.57,0.0
2018-01-13,2018-01-18,Standard Class,Ohio,Furniture,130.98,-2.52,0.7
2018-01-13,2018-01-18,Standard Class,Ohio,Furniture,37.42,13.09,0.2
2018-01-13,2018-01-18,Standard Class,California,Furniture,52.39,238.65,0.0
2018-01-13,2018-01-16,Second Class,South Carolina,Furniture,43.66,87.35,0.0
2018-01-13,2018-01-18,Standard Class,California,Furniture,87.32,3.93,0.15
2018-01-13,2018-01-15,Second Class,Louisiana,Furniture,87.32,2.71,0.0
2018-01-13,2018-01-15,Second Class,Louisiana,Furniture,43.66,258.7,0.0
2018-01-13,2018-01-15,Second Class,Louisiana,Furniture,87.32,25.47,0.0
2018-01-13,2018-01-15,Second Class,Louisiana,Furniture,130.98,5.34,0.0
2018-01-13,2018-01-15,Second Class,Louisiana,Furniture,43.66,34.35,0.0
2018-01-14,2018-01-15,First Class,Pennsylvania,Furniture,65.49,-53.29,0.5
2018-01-15,2018-01-17,First Class,Georgia,Furniture,52.39,65.98,0.0
2018-01-16,2018-01-18,Second Class,Pennsylvania,Furniture,130.98,-13.63,0.7
2018-01-16,2018-01-18,Second Class,Pennsylvania,Furniture,43.66,28.6,0.2
2018-01-16,2018-01-18,Second Class,Pennsylvania,Furniture,87.32,-31.05,0.4
2018-01-16,2018-01-18,Second Class,Pennsylvania,Furniture,87.32,10.15,0.2
2018-01-18,2018-01-21,Second Class,Oregon,Furniture,65.49,6.49,0.2
2018-01-19,2018-01-20,First Class,Arizona,Furniture,52.39,-320.6,0.7
2018-01-19,2018-01-20,First Class,Arizona,Furniture,52.39,36.69,0.2
2018-01-19,2018-01-20,First Class,Arizona,Furniture,65.49,19.62,0.2
2018-01-19,2018-01-20,First Class,Arizona,Furniture,26.2,-23.72,0.7
2018-01-20,2018-01-26,Standard Class,Tennessee,Furniture,261.96,-51.52,0.7
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,52.39,13.37,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,87.32,4.86,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,87.32,12.74,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,130.98,15.98,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,65.49,93.58,0.1
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,52.39,8.95,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,87.32,30.02,0.0
2018-01-20,2018-01-26,Standard Class,Michigan,Furniture,261.96,4.05,0.0
2018-01-20,2018-01-25,Standard Class,California,Furniture,130.98,5.79,0.0
2018-01-20,2018-01-25,Standard Class,California,Furniture,130.98,9.29,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,87.32,224.27,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,87.32,10.97,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,87.32,1.79,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,65.49,11.58,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,37.42,6.66,0.0
2018-01-20,2018-01-26,Standard Class,Arkansas,Furniture,37.42,181.98,0.0
2018-01-21,2018-01-23,Second Class,Florida,Furniture,87.32,4.1,0.2
2018-01-23,2018-01-27,Standard Class,Indiana,Furniture,87.32,0.0,0.0
2018-01-23,2018-01-28,Standard Class,Nevada,Furniture,43.66,19.24,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,87.32,30.78,0.0
2018-01-26,2018-01-29,First Class,South Dakota,Furniture,130.98,5.02,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,130.98,52.63,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,87.32,4.47,0.0
2018-01-26,2018-01-29,First Class,South Dakota,Furniture,130.98,39.75,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,130.98,8.34,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,87.32,9.33,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,32.75,0.0,0.0
2018-01-26,2018-01-31,Standard Class,Virginia,Furniture,20.15,0.0,0.0
2018-01-27,2018-02-02,Standard Class,California,Furniture,261.96,14.31,0.0
2018-01-27,2018-02-02,Standard Class,California,Furniture,87.32,-16.65,0.2
2018-01-27,2018-02-02,Standard Class,California,Furniture,65.49,12.03,0.0
2018-01-28,2018-02-03,Standard Class,New York,Furniture,261.96,1.33,0.2
2018-01-30,2018-02-04,Standard Class,Michigan,Furniture,130.98,4.75,0.0
2018-01-30,2018-02-04,Standard Class,Michigan,Furniture,130.98,6.9,0.0
2018-01-31,2018-02-02,First Class,California,Furniture,130.98,3.42,0.15
2018-02-01,2018-02-03,First Class,Wisconsin,Furniture,43.66,206.32,0.0
2018-02-02,2018-02-09,Standard Class,Florida,Furniture,130.98,-12.22,0.7
2018-02-02,2018-02-06,Standard Class,California,Furniture,52.39,5.8,0.0
2018-02-02,2018-02-09,Standard Class,Florida,Furniture,52.39,13.57,0.2
2018-02-03,2018-02-06,Second Class,Washington,Furniture,87.32,4.31,0.2
2018-02-03,2018-02-06,Second Class,Washington,Furniture,130.98,27.25,0.2
2018-02-04,2018-02-08,Standard Class,California,Furniture,87.32,29.01,0.2
2018-02-04,2018-02-08,Standard Class,California,Furniture,65.49,16.09,0.0
2018-02-04,2018-02-08,Second Class,California,Furniture,130.98,6.04,0.2
2018-02-06,2018-02-09,First Class,Virginia,Furniture,65.49,7.2,0.0
2018-02-06,2018-02-09,First Class,Virginia,Furniture,261.96,42.02,0.0
2018-02-06,2018-02-09,First Class,Virginia,Furniture,52.39,42.04,0.0
2018-02-06,2018-02-10,Second Class,Illinois,Furniture,130.98,-14.77,0.8
2018-02-07,2018-02-12,Standard Class,New Jersey,Furniture,37.42,49.6,0.0
