OrderDate,ShipDate,ShipMode,State,Category,Sales,Profit,Discounts
2022-01-02,2022-01-07,Standard Class,Colorado,Furniture,87.2,-147.56,0.68
2022-01-02,2022-01-05,Standard Class,Mississippi,Furniture,37.72,-10.79,0.0
2022-01-02,2022-01-04,Standard Class,New Hampshire,Furniture,131.07,-1.94,0.0
2022-01-05,2022-01-07,Standard Class,Rhode Island,Furniture,65.08,11.92,0.0
2022-01-06,2022-01-08,Standard Class,Alaska,Furniture,130.54,20.35,0.2
2022-01-06,2022-01-11,Standard Class,New Hampshire,Furniture,87.16,2.0,0.0
2022-01-06,2022-01-07,Standard Class,Oregon,Furniture,65.19,16.5,0.0
2022-01-09,2022-01-11,Standard Class,Kentucky,Furniture,65.39,15.25,0.2
2022-01-12,2022-01-16,First Class,Connecticut,Furniture,66.03,259.91,0.0
2022-01-14,2022-01-20,Second Class,New York,Furniture,37.11,36.82,0.0
2022-01-15,2022-01-16,Same Day,Louisiana,Furniture,65.47,82.32,0.3
2022-01-19,2022-01-20,Standard Class,California,Furniture,65.27,34.95,0.0
2022-01-21,2022-01-22,Standard Class,Oklahoma,Furniture,35.38,15.18,0.0
2022-01-21,2022-01-22,First Class,Colorado,Furniture,130.73,-30.58,0.2
2022-01-22,2022-01-23,Same Day,North Carolina,Furniture,261.96,14.91,0.2
2022-02-03,2022-02-09,Second Class,Montana,Furniture,65.04,-77.66,0.68
2022-02-06,2022-02-12,Standard Class,Nebraska,Furniture,65.25,13.62,0.0
2022-02-09,2022-02-13,Standard Class,Maine,Furniture,131.12,43.4,0.2
2022-02-10,2022-02-16,First Class,California,Furniture,65.02,148.73,0.0
2022-02-14,2022-02-17,Standard Class,Iowa,Furniture,130.5,5.1,0.2
2022-02-14,2022-02-20,Standard Class,Delaware,Furniture,87.7,-4.45,0.4
2022-02-15,2022-02-20,Standard Class,North Dakota,Furniture,130.88,-1.89,0.0
2022-02-16,2022-02-18,First Class,West Virginia,Furniture,52.92,41.38,0.0
2022-02-18,2022-02-22,Standard Class,Vermont,Furniture,34.16,21.02,0.0
2022-02-20,2022-02-25,Standard Class,New Mexico,Furniture,87.24,17.47,0.0
2022-02-21,2022-02-22,Standard Class,California,Furniture,261.96,-7.82,0.2
2022-02-22,2022-02-28,Second Class,Montana,Furniture,65.28,20.48,0.0
2022-02-23,2022-02-24,Second Class,West Virginia,Furniture,87.31,10.84,0.0
2022-02-23,2022-02-28,Standard Class,Utah,Furniture,34.4,125.23,0.0
2022-03-06,2022-03-07,Standard Class,Maine,Furniture,52.0,20.67,0.2
2022-03-07,2022-03-10,First Class,Massachusetts,Furniture,261.96,-2.57,0.0
2022-03-07,2022-03-10,Standard Class,Oklahoma,Furniture,87.44,15.58,0.0
2022-03-10,2022-03-14,Second Class,Tennessee,Furniture,36.0,-32.03,0.2
2022-03-14,2022-03-15,Standard Class,Vermont,Furniture,37.31,-11.32,0.2
2022-03-18,2022-03-24,Standard Class,South Carolina,Furniture,36.78,310.71,0.2
2022-03-19,2022-03-22,Standard Class,Connecticut,Furniture,36.46,12.1,0.0
2022-03-20,2022-03-24,Standard Class,Delaware,Furniture,65.69,10.53,0.0
2022-03-22,2022-03-23,Standard Class,Kentucky,Furniture,63.71,44.66,0.0
2022-03-22,2022-03-25,Standard Class,Oklahoma,Furniture,87.18,8.8,0.0
2022-03-28,2022-03-29,Second Class,West Virginia,Furniture,131.01,9.51,0.0
2022-03-31,2022-04-04,First Class,Idaho,Furniture,66.05,-5.09,0.2
2022-04-02,2022-04-06,First Class,Wisconsin,Furniture,52.49,-2.24,0.2
2022-04-06,2022-04-11,Standard Class,Hawaii,Furniture,87.07,17.3,0.0
2022-04-07,2022-04-08,Standard Class,Georgia,Furniture,87.85,-701.53,0.76
2022-04-09,2022-04-15,Standard Class,Indiana,Furniture,65.47,11.35,0.0
2022-04-09,2022-04-12,Standard Class,Texas,Furniture,130.9,-16.39,0.2
2022-04-10,2022-04-15,Standard Class,Georgia,Furniture,87.33,260.63,0.0
2022-04-11,2022-04-13,First Class,Illinois,Furniture,33.52,65.88,0.2
2022-04-19,2022-04-22,First Class,Hawaii,Furniture,131.41,-15.55,0.2
2022-04-23,2022-04-27,Second Class,Wisconsin,Furniture,86.92,19.13,0.0
2022-04-23,2022-04-29,Standard Class,Missouri,Furniture,37.48,56.49,0.0
2022-04-23,2022-04-29,First Class,West Virginia,Furniture,66.34,-149.29,0.2
2022-04-29,2022-05-02,First Class,Oklahoma,Furniture,258.36,196.61,0.2
2022-04-30,2022-05-02,Standard Class,Rhode Island,Furniture,65.65,11.35,0.2
2022-05-01,2022-05-02,Standard Class,Kansas,Furniture,131.44,3.47,0.0
2022-05-03,2022-05-04,Second Class,Utah,Furniture,35.95,48.34,0.0
2022-05-03,2022-05-08,Standard Class,Alaska,Furniture,36.04,97.28,0.71
2022-05-05,2022-05-11,Second Class,Maryland,Furniture,130.45,6.94,0.2
2022-05-08,2022-05-12,Second Class,Georgia,Furniture,32.92,13.53,0.0
2022-05-14,2022-05-20,Standard Class,Kansas,Furniture,87.39,3.73,0.0
2022-05-17,2022-05-22,Second Class,West Virginia,Furniture,130.49,7.36,0.2
2022-05-28,2022-06-01,Standard Class,Wisconsin,Furniture,33.45,13.19,0.0
2022-06-02,2022-06-08,Same Day,Georgia,Furniture,130.56,-51.59,0.2
2022-06-05,2022-06-10,Standard Class,Alaska,Furniture,131.35,-103.57,0.71
2022-06-06,2022-06-07,Standard Class,Michigan,Furniture,34.96,28.96,0.0
2022-06-06,2022-06-09,Standard Class,Mississippi,Furniture,32.2,167.69,0.0
2022-06-10,2022-06-16,Standard Class,Louisiana,Furniture,65.85,2.62,0.7
2022-06-11,2022-06-14,Second Class,Rhode Island,Furniture,33.45,26.69,0.0
2022-06-12,2022-06-17,Standard Class,South Carolina,Furniture,87.92,11.38,0.0
2022-06-12,2022-06-18,Standard Class,Nevada,Furniture,34.47,77.54,0.0
2022-06-12,2022-06-13,Same Day,Kentucky,Furniture,87.56,7.75,0.0
2022-06-14,2022-06-16,Standard Class,Indiana,Furniture,130.81,7.66,0.2
2022-06-14,2022-06-18,Standard Class,Pennsylvania,Furniture,130.5,5.62,0.39
2022-06-16,2022-06-17,Standard Class,Nevada,Furniture,35.67,17.76,0.0
2022-06-16,2022-06-20,First Class,Tennessee,Furniture,131.41,21.92,0.0
2022-06-19,2022-06-23,Standard Class,New Hampshire,Furniture,35.72,80.35,0.2
2022-06-21,2022-06-22,Standard Class,Arizona,Furniture,36.41,8.86,0.4
2022-06-22,2022-06-27,Standard Class,North Carolina,Furniture,64.91,7.67,0.2
2022-06-24,2022-06-28,Standard Class,Rhode Island,Furniture,87.33,7.92,0.0
2022-06-27,2022-06-28,Standard Class,Maine,Furniture,130.79,10.57,0.0
2022-07-03,2022-07-06,Standard Class,Washington,Furniture,261.71,102.27,0.0
2022-07-04,2022-07-07,First Class,South Carolina,Furniture,130.94,-8.53,0.2
2022-07-07,2022-07-12,Standard Class,Oregon,Furniture,64.56,15.16,0.2
2022-07-07,2022-07-11,Same Day,Delaware,Furniture,36.71,25.82,0.0
2022-07-07,2022-07-13,Standard Class,South Carolina,Furniture,64.84,1.58,0.38
2022-07-09,2022-07-14,Standard Class,New Mexico,Furniture,88.04,-103.44,0.39
2022-07-09,2022-07-12,Standard Class,Pennsylvania,Furniture,131.17,17.67,0.2
2022-07-10,2022-07-11,Standard Class,Maine,Furniture,87.01,15.19,0.0
